ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,AWS account,,CORE
2,Amazon S3 data lake,1,CORE
3,Amazon S3 bucket,2,CORE
4,AWS analytics & ML services,1,CORE
5,Amazon Athena,4,CORE
6,Amazon EMR,4,CORE
7,Amazon Redshift,4,CORE
8,Amazon Redshift Spectrum,7,CORE
9,AWS Glue (service),4,CORE
10,AWS Glue Data Catalog,9|2,CORE
11,Central technical metastore,10,CORE
12,Catalog resource (multi-level federated catalog),10,CORE
13,Catalog ID (CatalogId),10|1,CORE
14,Default Data Catalog,10|12,CORE
15,AWS Lake Formation,10,CORE
16,Amazon DataZone,4,CORE
17,Amazon SageMaker Catalog (DataZone rebrand),16,CORE
18,Amazon SageMaker Unified Studio,17,CORE
19,Data mesh,10|16,CORE
20,Three-layer catalog split (Glue + Lake Formation + DataZone),10|15|16,CORE
21,Business data catalog,16,CORE
22,Data portal,16|21,CORE
23,Self-service data access,22|237,CORE
24,Data producer,19,CORE
25,Data consumer,19,CORE
26,Producer-consumer separation,24|25,CORE
27,Database,11,META
28,Table (metadata table),27,META
29,Column,28,META
30,Schema (table definition),28|29,META
31,Nested column / struct,29,META
32,Table version,28,META
33,Partition,28|3,META
34,Partition key,33|30,META
35,Partition index,33|34,META
36,SerDe (serialization library),28,META
37,Table properties / parameters,28,META
38,Table location (Amazon S3 path),28|3,META
39,AWS Glue Data Catalog view,28|15,META
40,Resource link,27|28,META
41,Connection (connection definition),11,META
42,JDBC connection,41,META
43,NETWORK connection,41,META
44,MONGODB connection,41,META
45,KAFKA connection,41,META
46,MARKETPLACE / CUSTOM connector connection,41,META
47,Column statistics,29|28,META
48,Materialized view (Iceberg),28|240,META
49,AWS Glue Schema Registry,9,META
50,Registry,49,META
51,Schema (stream schema),50,META
52,Schema version,51,META
53,Schema definition,52,META
54,Data format (Avro / JSON Schema / Protobuf),51,META
55,Compatibility mode,52,META
56,Schema checkpoint version,55|52,META
57,Serializer / deserializer (SerDe libraries),52|54,META
58,Schema evolution (streams),52|55,META
59,Streaming integration (Kafka/MSK/Kinesis/Flink/Lambda),57|45,META
60,Federation to external data sources,12|41,META
61,Amazon Redshift managed catalog (RMS),12|7,META
62,Crawler,10,SRCH
63,Crawler data store / data source,62|3,SRCH
64,Automatic discovery,62,SRCH
65,Schema inference,62|30,SRCH
66,Include / exclude patterns,63,SRCH
67,Crawler schedule,62,SRCH
68,Incremental crawl,62|67,SRCH
69,Recrawl policy,62|68,SRCH
70,Schema change policy (SchemaChangePolicy),62|30,SRCH
71,Partition detection (crawler),62|33,SRCH
72,Classifier,62,SRCH
73,Built-in classifier,72,SRCH
74,Custom classifier,72,SRCH
75,Classifier certainty,72,SRCH
76,Classifier order / priority,72|74,SRCH
77,Grok classifier,74,SRCH
78,XML classifier,74,SRCH
79,JSON path classifier,74,SRCH
80,CSV classifier,73,SRCH
81,Classification string,72|65,SRCH
82,Hudi / Iceberg crawler support,62|240,SRCH
83,DataZone search & browse,21|220,SRCH
84,"Semantic search (Glue Catalog, Preview)",10|229,SRCH
85,Glue Search API,84,SRCH
86,Subscribe (request access),83|231,SRCH
87,AWS Glue Data Quality,9,DQ
88,DeeQu framework,87,DQ
89,Data quality for the Data Catalog (entry point),87|28,DQ
90,Data quality for ETL jobs (entry point),87|260,DQ
91,Data Quality Definition Language (DQDL),87,DQ
92,Ruleset,91|28,DQ
93,Rule,91,DQ
94,Rule type,93,DQ
95,Rule parameters,94,DQ
96,Expression,93,DQ
97,Composite rule (and/or/not),93|96,DQ
98,compositeRuleEvaluation.method (ROW/COLUMN),97,DQ
99,Where clause filter,93,DQ
100,Threshold (with threshold),96,DQ
101,NULL / EMPTY / WHITESPACES_ONLY keywords,96,DQ
102,Constants,91,DQ
103,Labels,93,DQ
104,Completeness rule,94,DQ
105,ColumnValues rule,94,DQ
106,ColumnCount rule,94,DQ
107,ColumnDataType rule,94,DQ
108,ColumnLength rule,94,DQ
109,ColumnCorrelation rule,94,DQ
110,RowCount rule,94,DQ
