ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Microsoft Purview,,CORE
2,Microsoft Purview account,1,CORE
3,Microsoft Purview portal (new),2,CORE
4,Classic governance portal,2,CORE
5,Free vs Enterprise account type,2,CORE
6,Microsoft Entra ID tenant,,CORE
7,Data governance solution,2,CORE
8,Federated data governance,7,CORE
9,Data Map,7,CORE
10,Unified Catalog,7,CORE
11,Classic Data Catalog,9,CORE
12,Data Map vs Unified Catalog split,9|10,CORE
13,New experience upgrade,2|3,CORE
14,Data Map capacity unit (CU),9,CORE
15,Operations throughput,14,CORE
16,Metadata storage,14,CORE
17,Elastic Data Map (autoscale),14|15|16,CORE
18,Technical metadata,16,CORE
19,Business metadata,16,CORE
20,Operational metadata,16,CORE
21,Semantic metadata,16,CORE
22,Data Map monitoring metrics,14|16,CORE
23,Data asset,9|18,META
24,Asset fully qualified name (FQN),23,META
25,Asset schema,23|18,META
26,Column,25,META
27,Asset type,23,META
28,Table asset,27|25,META
29,View asset,27|25,META
30,File asset,27,META
31,Folder / container asset,27,META
32,Nested data (JSON),25|26,META
33,Asset business metadata curation,23|19,META
34,Asset description,33,META
35,Asset owner / expert (contacts),33,META
36,Asset certification,23|33,META
37,Related entities (child objects),23,META
38,Live view,23|6,META
39,Resource set,23|25,META
40,Resource set pattern,39,META
41,Built-in resource set patterns,40,META
42,Regex-based pattern ({GUID}/{N}/{HEX}/{LOC}),41,META
43,Complex pattern ({SparkPartitions}/date-in-path),41,META
44,Resource set detection,40|39,META
45,Resource set display name extraction,44,META
46,Advanced resource sets,39|44,META
47,Resource set partition count / sample path / size,46,META
48,Resource set pattern rules (custom),40|46,META
49,Data source registration,9|202,SRCH
50,Scan,49,SRCH
51,Scan authentication method,50|6,SRCH
52,Managed identity (system-assigned),51|2,SRCH
53,Service principal credential,51,SRCH
54,Azure Key Vault credential connection,51,SRCH
55,Scan scope (entity selection),50,SRCH
56,Scan level (L1/L2/L3),50,SRCH
57,L1 scan (basic metadata),56,SRCH
58,L2 scan (schema),56|25,SRCH
59,L3 scan (classification),56|76,SRCH
60,Auto detect scan level,56,SRCH
61,Data sampling for classification,59,SRCH
62,Scan rule set,50,SRCH
63,System scan rule set,62,SRCH
64,Custom scan rule set,62,SRCH
65,File types supported for scanning,62,SRCH
66,Custom file type / parser,64|65,SRCH
67,Scan trigger,50,SRCH
68,Scan schedule (daily/weekly/monthly),67,SRCH
69,Run scan now (one-time),67,SRCH
70,Full vs incremental scan,50,SRCH
71,Deleted asset detection,50|70,SRCH
72,Scan run monitoring,50,SRCH
73,Ingestion,50|9,SRCH
74,Ingestion from scans,73|44,SRCH
