ConceptID,ConceptLabel,SourceURL,Dependencies,TaxonomyID,source_content_hash
1,Salesforce Data Cloud,https://help.salesforce.com/s/articleView?id=sf.c360_a_data_cloud.htm&type=5,,PLATFORM,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
2,Data Stream,https://help.salesforce.com/s/articleView?id=sf.c360_a_data_stream.htm&type=5,1:REQUIRES:0.95,INGEST,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
3,Data Lake Object,https://help.salesforce.com/s/articleView?id=sf.c360_a_dlm_object.htm&type=5,2:REQUIRES:0.95,MODEL,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
4,Data Model Object,https://help.salesforce.com/s/articleView?id=sf.c360_a_dm_data_model_objects.htm&type=5,3:REQUIRES:0.90|19:REQUIRES:0.85,MODEL,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
5,Unified Individual,https://help.salesforce.com/s/articleView?id=sf.c360_a_unified_individual.htm&type=5,4:REQUIRES:0.90|7:REQUIRES:0.90,IDENTITY,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
6,Unified Profile,https://help.salesforce.com/s/articleView?id=sf.c360_a_unified_profile.htm&type=5,5:REQUIRES:0.95,IDENTITY,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
7,Identity Resolution,https://help.salesforce.com/s/articleView?id=sf.c360_a_identity_resolution_intro.htm&type=5,4:REQUIRES:0.90|8:REQUIRES:0.85|9:REQUIRES:0.85,IDENTITY,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
8,Match Rule,https://help.salesforce.com/s/articleView?id=sf.c360_a_identity_resolution_intro.htm&type=5,4:REQUIRES:0.90,IDENTITY,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
9,Reconciliation Rule,https://help.salesforce.com/s/articleView?id=sf.c360_a_identity_resolution_intro.htm&type=5,4:REQUIRES:0.90,IDENTITY,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
10,Segment,https://help.salesforce.com/s/articleView?id=sf.c360_a_segment.htm&type=5,6:REQUIRES:0.90|11:REQUIRES:0.85,SEGMENT,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
