ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,dbt Project,2,CORE
2,dbt_project.yml,,CORE
3,config-version,2,CORE
4,project name,2,CORE
5,project version,2,CORE
6,profiles.yml,1,CORE
7,Profile,6,CORE
8,profile key,2|7,CORE
9,Target,7,CORE
10,outputs,7,CORE
11,connection config,10|215,CORE
12,threads,10,CORE
13,Jinja,1,CORE
14,Macro,13,CORE
15,config() function,13,CORE
16,vars,2,CORE
17,var() function,16|13,CORE
18,environment variables,1,CORE
19,env_var() function,18|13,CORE
20,secret env vars,18,CORE
21,model-paths,2,CORE
22,seed-paths,2,CORE
23,snapshot-paths,2,CORE
24,macro-paths,2,CORE
25,analysis-paths,2,CORE
26,test-paths,2,CORE
27,target-path,2,CORE
28,packages-install-path,2|36,CORE
29,Seed,22,CORE
30,seed config,29,CORE
31,Snapshot,23|44|39,CORE
32,snapshot timestamp strategy,31,CORE
33,snapshot check strategy,31,CORE
34,snapshot validity columns,31,CORE
35,Analysis,25|52,CORE
36,Package,1,CORE
37,packages.yml,36,CORE
38,dependencies.yml,36|1,CORE
39,Model,21,MODL
40,SQL Model,39,MODL
41,Python Model,39,MODL
42,model() function,41,MODL
43,DataFrame,41,MODL
44,Source,1,MODL
45,ref() function,39|13,MODL
46,source() function,44|13,MODL
47,two-argument ref(),45|36,MODL
48,versioned ref(),45|59,MODL
49,this variable,39|45,MODL
50,dbt.ref(),45|41,MODL
51,dbt.source(),46|41,MODL
52,Compiled SQL,40|45,MODL
53,config.get(),15,MODL
54,Configuration Hierarchy,15|2,MODL
55,meta config,15|39,MODL
56,Model Contract,39|15,MODL
57,contract enforced,56,MODL
58,constraints,56,MODL
59,Model Versions,39|56,MODL
60,latest_version,59,MODL
61,deprecation_date,59,MODL
62,Model Access,39,MODL
63,Group,39,MODL
64,Custom Schema,15|39,MODL
65,generate_schema_name macro,64|14,MODL
66,Custom Alias,15|39,MODL
67,generate_alias_name macro,66|14,MODL
68,Custom Database,15|39,MODL
69,generate_database_name macro,68|14,MODL
70,hooks,39|15,MODL
71,pre-hook / post-hook,70,MODL
72,Materialization,39,MATL
73,materialized config,72|15,MATL
74,View materialization,72,MATL
75,Table materialization,72,MATL
76,Ephemeral materialization,72,MATL
77,Materialized View materialization,72,MATL
78,Incremental materialization,72|75,MATL
79,Custom Materialization,72|14,MATL
80,is_incremental() macro,78,MATL
81,unique_key,78,MATL
82,on_schema_change,78,MATL
83,full-refresh flag,78,MATL
84,full_refresh config,78|83,MATL
85,incremental_strategy config,78,MATL
86,append strategy,85,MATL
87,merge strategy,85|81,MATL
88,delete+insert strategy,85|81,MATL
89,insert_overwrite strategy,85,MATL
90,microbatch strategy,85,MATL
91,merge_update_columns,87,MATL
92,incremental_predicates,87,MATL
93,event_time,90,MATL
94,batch_size,90,MATL
95,begin config,90,MATL
96,lookback,90,MATL
97,persist_docs,72|269,MATL
98,indexes config,75,MATL
99,grants config,72,MATL
100,Node,1,DAG
101,DAG,100|45,DAG
102,unique_id,100,DAG
103,FQN,100,DAG
