ConceptID,ConceptLabel,SourceURL,Dependencies,TaxonomyID,source_content_hash
1,Einstein Trust Layer,https://help.salesforce.com/s/articleView?id=sf.einstein_ai_trust_layer.htm&type=5,,GOVERNANCE,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
2,Zero Data Retention,https://help.salesforce.com/s/articleView?id=sf.einstein_ai_trust_layer.htm&type=5,1:REQUIRES:0.95,SECURITY,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
3,Data Masking,https://help.salesforce.com/s/articleView?id=sf.einstein_ai_trust_layer.htm&type=5,1:REQUIRES:0.95|4:REQUIRES:0.90,SECURITY,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
4,PII Detection,https://help.salesforce.com/s/articleView?id=sf.einstein_ai_trust_layer.htm&type=5,1:REQUIRES:0.95,SECURITY,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
5,Toxicity Detection,https://help.salesforce.com/s/articleView?id=sf.einstein_ai_trust_layer.htm&type=5,1:REQUIRES:0.95,SECURITY,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
6,Content Filter,https://help.salesforce.com/s/articleView?id=sf.einstein_ai_trust_layer.htm&type=5,5:REQUIRES:0.90|3:REQUIRES:0.85,SECURITY,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
7,Audit Trail,https://help.salesforce.com/s/articleView?id=sf.einstein_ai_trust_layer.htm&type=5,1:REQUIRES:0.95,AUDIT,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
8,Audit Log Export,https://help.salesforce.com/s/articleView?id=sf.einstein_ai_trust_layer.htm&type=5,7:REQUIRES:0.90,AUDIT,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
9,Trust Score,https://help.salesforce.com/s/articleView?id=sf.einstein_ai_trust_layer.htm&type=5,1:REQUIRES:0.90|11:REQUIRES:0.85|12:REQUIRES:0.85,GOVERNANCE,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
10,Data Residency,https://help.salesforce.com/s/articleView?id=sf.einstein_ai_trust_layer.htm&type=5,1:REQUIRES:0.90|16:REQUIRES:0.85,DATA,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
11,Input Validation,https://help.salesforce.com/s/articleView?id=sf.einstein_ai_trust_layer.htm&type=5,1:REQUIRES:0.95,SECURITY,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
12,Output Validation,https://help.salesforce.com/s/articleView?id=sf.einstein_ai_trust_layer.htm&type=5,1:REQUIRES:0.95,SECURITY,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
13,Grounding Filter,https://help.salesforce.com/s/articleView?id=sf.einstein_ai_trust_layer.htm&type=5,1:REQUIRES:0.90|11:REQUIRES:0.85,SECURITY,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
14,GDPR Compliance,https://help.salesforce.com/s/articleView?id=sf.einstein_gdpr_compliance.htm&type=5,2:REQUIRES:0.95|10:REQUIRES:0.90|3:REQUIRES:0.85,COMPLIANCE,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
15,HIPAA Compliance,https://help.salesforce.com/s/articleView?id=sf.einstein_hipaa_compliance.htm&type=5,2:REQUIRES:0.95|16:REQUIRES:0.90|7:REQUIRES:0.90,COMPLIANCE,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
16,Data Encryption,https://help.salesforce.com/s/articleView?id=sf.einstein_ai_trust_layer.htm&type=5,1:REQUIRES:0.95,DATA,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
17,Named Credential,https://help.salesforce.com/s/articleView?id=sf.named_credentials_about.htm&type=5,1:REQUIRES:0.85,SECURITY,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
18,Permission Set,https://help.salesforce.com/s/articleView?id=sf.perm_sets_overview.htm&type=5,1:REQUIRES:0.85,GOVERNANCE,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
19,Org-Level Policy,https://help.salesforce.com/s/articleView?id=sf.einstein_ai_trust_layer.htm&type=5,18:REQUIRES:0.90|22:REQUIRES:0.85,GOVERNANCE,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
