ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,"_import_utils",,FOUND
2,"caches",14|50,FOUND
3,"chat_history",30|53,FOUND
4,"chat_loaders",5,FOUND
5,"chat_sessions",30,FOUND
6,"cross_encoders",,FOUND
7,"document_loaders",1|8|9|10,FOUND
8,"document_loaders.base",26|27|50,FOUND
9,"document_loaders.blob_loaders",27,FOUND
10,"document_loaders.langsmith",8|26|127,FOUND
11,"env",,FOUND
12,"exceptions",,FOUND
13,"globals",2,FOUND
14,"outputs",1|15|16|17|18|19,FOUND
15,"outputs.chat_generation",17|30|153,FOUND
16,"outputs.chat_result",15,FOUND
17,"outputs.generation",145|153,FOUND
18,"outputs.llm_result",15|17|19,FOUND
19,"outputs.run_info",,FOUND
20,"prompt_values",30|150,FOUND
21,"rate_limiters",,FOUND
22,"stores",12|50,FOUND
23,"structured_query",,FOUND
24,"sys_info",,FOUND
25,"version",,FOUND
26,"documents",1|27|28|29,DOCUMENT
27,"documents.base",150,DOCUMENT
28,"documents.compressor",26|50|119,DOCUMENT
29,"documents.transformers",26|53,DOCUMENT
30,"messages",1|31|32|41|42|43|44|45|46|47|48|49|169,MESSAGE
31,"messages.ai",30|32|33|43|48|153|163|168|169,MESSAGE
32,"messages.base",30|34|36|37|40|41|82|150|152|153|161|173,MESSAGE
33,"messages.block_translators",30|34|35|36|37|38|39|41,MESSAGE
34,"messages.block_translators.anthropic",30|33,MESSAGE
35,"messages.block_translators.bedrock",30|33|34,MESSAGE
36,"messages.block_translators.bedrock_converse",30|33,MESSAGE
37,"messages.block_translators.google_genai",30|33|43,MESSAGE
38,"messages.block_translators.google_vertexai",33|37,MESSAGE
39,"messages.block_translators.groq",30|32|33,MESSAGE
40,"messages.block_translators.langchain_v0",30,MESSAGE
41,"messages.block_translators.openai",30|33|68,MESSAGE
42,"messages.chat",32|153,MESSAGE
43,"messages.content",169,MESSAGE
44,"messages.function",32|153,MESSAGE
45,"messages.human",30|32,MESSAGE
46,"messages.modifier",32,MESSAGE
47,"messages.system",30|32,MESSAGE
48,"messages.tool",30|32|43|153,MESSAGE
49,"messages.utils",12|20|31|32|41|42|43|44|45|46|47|48|51|66|100|157,MESSAGE
50,"runnables",1|51|52|53|55|60|61|63|65,RUNNABLE
51,"runnables.base",53|54|55|56|61|62|64|65|70|81|100|122|128|133|135|137|139|150|154|162|166|171,RUNNABLE
52,"runnables.branch",51|53|65,RUNNABLE
53,"runnables.config",65|120|122|134,RUNNABLE
54,"runnables.configurable",51|53|56|65,RUNNABLE
55,"runnables.fallbacks",51|53|65|122,RUNNABLE
56,"runnables.graph",51|57|58|59|150|166,RUNNABLE
57,"runnables.graph_ascii",56,RUNNABLE
58,"runnables.graph_mermaid",56,RUNNABLE
59,"runnables.graph_png",56,RUNNABLE
60,"runnables.history",3|30|51|53|61|65|69|139|148|166,RUNNABLE
61,"runnables.passthrough",51|53|56|65|122|154|162|166,RUNNABLE
62,"runnables.retry",51|53|65|122,RUNNABLE
63,"runnables.router",51|53|65,RUNNABLE
64,"runnables.schema",,RUNNABLE
65,"runnables.utils",64|166,RUNNABLE
66,"language_models",1|68|69|71|72|73|74|75,LLM
67,"language_models._compat_bridge",14|30,LLM
68,"language_models._utils",30|40|41|43,LLM
69,"language_models.base",2|13|14|20|30|50|119,LLM
70,"language_models.chat_model_stream",30|67,LLM
71,"language_models.chat_models",2|13|14|15|20|21|30|41|50|53|67|68|69|70|75|100|109|114|119|128|145|157|166|169|171,LLM
72,"language_models.fake",50|66|74|119,LLM
73,"language_models.fake_chat_models",14|30|50|71|119,LLM
74,"language_models.llms",2|13|14|20|30|50|53|68|69|119|145,LLM
75,"language_models.model_profile",,LLM
76,"example_selectors",1|77|78|79,PROMPT
77,"example_selectors.base",50,PROMPT
78,"example_selectors.length_based",77|89,PROMPT
79,"example_selectors.semantic_similarity",26|77|93|97,PROMPT
80,"prompts",1|81|82|83|84|85|87|89|90,PROMPT
81,"prompts.base",12|20|26|50|53|109|145|166|171,PROMPT
82,"prompts.chat",20|30|32|81|83|86|88|89|90|152|161|171,PROMPT
