ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Machine Learning,,FOUND
2,Supervised Learning,1,FOUND
3,Unsupervised Learning,1,FOUND
4,Classification,2,FOUND
5,Regression,2,FOUND
6,Training Data,1,FOUND
7,Test Data,6,FOUND
8,Validation Data,6,FOUND
9,Feature,1,FOUND
10,Label,2,FOUND
11,Instance,9,FOUND
12,Feature Vector,9|11,FOUND
13,Model,1,FOUND
14,Algorithm,1,FOUND
15,Hyperparameter,13|14,FOUND
16,K-Nearest Neighbors,2|14,KNN
17,Distance Metric,9,KNN
18,Euclidean Distance,17,KNN
19,Manhattan Distance,17,KNN
20,K Selection,15|16,KNN
21,Decision Boundary,4,KNN
22,Voronoi Diagram,16|21,KNN
23,Curse of Dimensionality,9|17,KNN
24,KNN for Classification,16|4,KNN
25,KNN for Regression,16|5,KNN
26,Lazy Learning,16,KNN
27,Decision Tree,2|14,TREE
28,Tree Node,27,TREE
29,Leaf Node,27|28,TREE
30,Splitting Criterion,27,TREE
31,Entropy,30,TREE
32,Information Gain,31,TREE
33,Gini Impurity,30,TREE
34,Pruning,27|35,TREE
35,Overfitting,13|6,TREE
36,Underfitting,13|6,TREE
37,Tree Depth,27|28,TREE
38,Categorical Features,9,FOUND
39,Continuous Features,9,FOUND
40,Feature Space Partitioning,27|9,FOUND
41,Logistic Regression,2|14|4,MISC
42,Sigmoid Function,41,LOGREG
43,Log-Loss,98|41,LOGREG
44,Binary Classification,4,LOGREG
45,Multiclass Classification,4,LOGREG
46,Maximum Likelihood,41,LOGREG
47,One-vs-All,45|41,LOGREG
48,One-vs-One,45|41,LOGREG
49,Softmax Function,45,LOGREG
50,Regularization,35,REG
51,L1 Regularization,50,REG
52,L2 Regularization,50,REG
53,Ridge Regression,52|5,REG
54,Lasso Regression,51|5,REG
55,Support Vector Machine,2|14|4,SVM
56,Hyperplane,55,SVM
57,Margin,55|56,SVM
58,Support Vectors,55|57,SVM
59,Margin Maximization,57,SVM
60,Hard Margin SVM,55|57,SVM
61,Soft Margin SVM,55|57,SVM
62,Slack Variables,61,SVM
63,Kernel Trick,55,SVM
64,Linear Kernel,63,SVM
65,Polynomial Kernel,63,SVM
66,Radial Basis Function,63,SVM
67,Gaussian Kernel,63|66,SVM
68,Dual Formulation,55,SVM
69,Primal Formulation,55,SVM
70,K-Means Clustering,3|14,CLUST
71,Centroid,70,CLUST
72,Cluster Assignment,70|71,CLUST
73,Cluster Update,70|71,CLUST
74,K-Means Initialization,70,CLUST
75,Random Initialization,74,CLUST
76,K-Means++ Initialization,74,CLUST
77,Elbow Method,70|15,CLUST
78,Silhouette Score,70,CLUST
79,Within-Cluster Variance,70|71,CLUST
80,Convergence Criteria,70,CLUST
