ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Relational Database,,ARCH
2,Client-Server Model,1,ARCH
3,Postmaster Supervisor Process,2,ARCH
4,Backend Process Per Connection,3,ARCH
5,Shared Memory,3,ARCH
6,Database Cluster,3,ARCH
7,Data Directory PGDATA,6,ARCH
8,Tablespace,7,ARCH
9,Heap Table Storage,7,ARCH
10,Page Block 8KB,9,ARCH
11,Tuple Row Version,10,ARCH
12,Shared Buffer Cache,5|10,ARCH
13,Transaction ID XID,11,ARCH
14,xmin xmax Visibility,13,ARCH
15,MVCC,14|11,ARCH
16,Snapshot,15|14,ARCH
17,Write-Ahead Log WAL,11|12,ARCH
18,Log Sequence Number LSN,17,ARCH
19,WAL Segment File,17,ARCH
20,Full Page Writes,17|10,ARCH
21,Checkpoint,17|12,ARCH
22,fsync Durability,17,ARCH
23,Crash Recovery REDO,17|21,ARCH
24,TOAST Oversized Storage,10|11,ARCH
25,Free Space Map,9|10,ARCH
26,Visibility Map,9|15,ARCH
27,Data Type System,1,TYPE
28,Integer Types,27,TYPE
29,Numeric Arbitrary Precision,27,TYPE
30,Floating Point Types,27,TYPE
31,Serial Pseudo-Type,28|63,TYPE
32,Character Types,27,TYPE
33,Text Type,32,TYPE
34,Bytea Binary Type,27,TYPE
35,Boolean Type,27,TYPE
36,Date Time Types,27,TYPE
37,Timestamp With Time Zone,36,TYPE
38,Interval Type,36,TYPE
39,Enum Type,27,TYPE
40,UUID Type,27,TYPE
41,Geometric Types,27,TYPE
42,Network Address Types,27,TYPE
43,JSON Type,27|33,TYPE
44,JSONB Binary JSON,43,TYPE
45,JSONPath,44,TYPE
46,JSON Operators,44,TYPE
47,Array Type,27,TYPE
48,Composite Type,27,TYPE
49,Range Type,27,TYPE
50,Domain Type,27|65,TYPE
51,pg_lsn Type,27|18,TYPE
52,tsvector Type,33,TYPE
53,tsquery Type,33,TYPE
54,NULL Three-Valued Logic,27,TYPE
55,Schema Namespace,6,DDL
56,search_path,55,DDL
57,Table Definition,9|27|55,DDL
58,Column,57,DDL
59,Default Value,58,DDL
60,Generated Column Stored,58,DDL
61,Identity Column,58|63,DDL
62,System Columns,57|14,DDL
63,Sequence,55,DDL
64,NOT NULL Constraint,58|54,DDL
65,Check Constraint,58,DDL
66,Unique Constraint,58|126,DDL
67,Primary Key,66|64,DDL
68,Foreign Key,67|69,DDL
69,Referential Integrity,67,DDL
70,Exclusion Constraint,118|65,DDL
71,View Definition,85,DDL
72,Materialized View,71|9,DDL
73,ALTER TABLE,57,DDL
74,DROP and CASCADE,57|75,DDL
75,Dependency Tracking,268,DDL
76,Table Inheritance,57,DDL
77,Declarative Partitioning,57,DDL
78,Partition Key,77,DDL
79,Range Partitioning,78,DDL
80,List Partitioning,78,DDL
81,Hash Partitioning,78,DDL
82,Default Partition,77,DDL
83,Attach Detach Partition,77|73,DDL
84,Sub-Partitioning,77|78,DDL
85,SELECT Statement,57,QRY
86,FROM Clause,85,QRY
87,WHERE Clause,85|54,QRY
88,Table Alias,86,QRY
89,Inner Join,86,QRY
90,Outer Join,89|54,QRY
91,Natural Join USING,89,QRY
92,Subquery,85,QRY
93,Correlated Subquery,92|87,QRY
94,Scalar Expression,85,QRY
95,Aggregate Function,85,QRY
96,GROUP BY,95,QRY
97,HAVING Clause,96,QRY
98,GROUPING SETS ROLLUP CUBE,96,QRY
99,Window Function,85|95,QRY
