ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Artificial Intelligence,,GEN
2,Exponential Growth,,GEN
3,Knowledge Organizations,,GEN
4,Large Language Models,1,GEN
5,Generative AI,1|4,GEN
6,Strategic Implications,2|3,GEN
7,AI Benchmarks,1|4,GEN
8,Knowledge Management,3,GEN
9,Content Generation,4|5,GEN
10,AI Timelines,1|2,GEN
11,Dartmouth Conference,1,GEN
12,AI History,1|11,GEN
13,Machine Learning,1,GEN
14,Deep Learning,1|13,GEN
15,Neural Networks,13|14,GEN
16,Natural Language Processing,1|4|13,GEN
17,Expert Systems,1|12,GEN
18,AI Revolution,1|2|10|12,GEN
19,Prompt Engineering,4|5,GEN
20,AI Capability Trajectories,1|2|7|10,GEN
21,ELIZA,12|16,GEN
22,Transformer Architecture,14|15|16,GEN
23,GPT Models,4|14|22,GEN
24,BERT,4|14|22,GEN
25,Llama Models,4|14|22,GEN
26,Claude Models,4|14|22,GEN
27,DeepSeek Models,4|14|22,GEN
28,AlphaGo,12|14,GEN
29,Deep Blue,12,GEN
30,Watson,12|16,GEN
31,GANs,14|15,GEN
32,Diffusion Models,14|15|31,GEN
33,Text Generation,4|5|16,GEN
34,Image Generation,5|31|32,GEN
35,Text-to-Image Models,5|33|34,GEN
36,DALL-E,34|35,GEN
37,Midjourney,34|35,GEN
38,Stable Diffusion,32|34|35,GEN
39,Democratization of AI,1|2,GEN
40,AI Accessibility,1|39,GEN
41,Open Source AI,4|25|39,GEN
42,Proprietary AI,4|23|24|26,GEN
43,AI Cost Trends,2|39|40,GEN
44,Local AI Models,4|41,GEN
45,Cloud-Based AI,4|42,GEN
46,AI Adoption Curve,2|39|40,GEN
47,Disruption Theory,2|6,GEN
48,Public Knowledge,3|8,GEN
49,Private Knowledge,3|8,GEN
50,Knowledge Integration,8|48|49,GEN
51,Knowledge Scope,8|50,GEN
52,Personal Knowledge,49|51,GEN
53,Organizational Knowledge,3|8|49|51,GEN
54,Departmental Knowledge,49|51|53,GEN
55,Project Knowledge,49|51|53,GEN
56,Knowledge Protection,49|51,GEN
57,Privacy Regulations,56,GEN
58,FERPA,56|57,GEN
59,Hyperpersonalized Learning,4|5|40,GEN
60,Curriculum Development,59,GEN
61,AI-Assisted Teaching,4|5|59|60,GEN
62,Assessment Challenges,59|60|61,GEN
63,Academic Integrity,62,GEN
64,Research Integrity,63,GEN
65,Content Authenticity,9|33,GEN
66,Future Skills Development,18|60,GEN
67,AI Literacy,1|40|66,GEN
68,Knowledge Worker Productivity,5|9|50,GEN
69,Business Process Analysis,6|68,GEN
70,Customer Engagement Transformation,5|9|69,GEN
71,Product Development Acceleration,5|9|69,GEN
72,Competitive Advantage,6|47|69|70|71,GEN
73,Strategic Response Planning,6|72,GEN
74,Impact Assessment,6|18|73,GEN
75,LLM Limitations,4|7|93,GEN
76,World Models,1|4|75,GEN
77,Hallucination (AI),4|75,GEN
78,Factual Reliability,4|77,GEN
79,Ethical Considerations,1|77|78,GEN
80,Responsible AI,1|79,GEN
81,AI Governance,79|80,GEN
82,AI Center of Excellence,81,GEN
83,Organizational Structure,3|82,GEN
84,Centralized Control Models,81|83,GEN
85,Decentralized Control Models,81|83,GEN
86,Implementation Roadmapping,73|82,GEN
87,Change Management,73|86,GEN
88,Reasoning Capabilities,4|75|76,GEN
89,One-Shot Learning,4|88,GEN
90,Few-Shot Learning,4|88|89,GEN
91,Zero-Shot Learning,4|88|89,GEN
92,Chain-of-Thought Reasoning,4|88,GEN
93,Context Window,4,GEN
94,Tokens,4|93,GEN
95,Token Limits,93|94,GEN
96,AI Agents,1|4|5,GEN
97,Multi-Agent Systems,96,GEN
98,Autonomous Systems,96|97,GEN
99,AI Benchmarking,7,GEN
100,ImageNet,7|34|99,GEN
101,MMLU Benchmark,7|16|99,GEN
102,HumanEval Benchmark,7|99,GEN
103,Question Answering,4|16,GEN
104,Response Accuracy,7|103,GEN
105,Response Speed,4|93|94,GEN
106,Model Size,4|15,GEN
107,Parameter Count,4|15|106,GEN
